planet_name,mass,radius,orbital_period,semi_major_axis,eccentricity,star_teff,star_mass,star_radius,distance_pc,hz_inner_au,hz_outer_au,earth_sized,in_hz,habitability_label
CoRoT-11 b,2.33,1.43,2.994325,0.04351,0.0,6343.0,1.27,1.36,560.0,0.03739095451878109,0.08824265266432338,True,True,1
CoRoT-12 b,0.917,1.44,2.8280517,0.04016,0.07,5675.0,1.078,1.116,1150.0,0.04179221577315039,0.09862962922463492,True,False,0
CoRoT-13 b,1.308,0.885,4.0350906,0.051,0.0,5945.0,1.09,1.01,1310.0,0.03989416728555567,0.09415023479391138,True,True,1
CoRoT-14 b,7.6,1.09,1.51214,0.027,0.0,6035.0,1.13,1.21,1340.0,0.03929922527135516,0.09274617164039818,True,False,0
CoRoT-16 b,0.535,1.17,5.35227,0.0618,0.33,5650.0,1.098,1.19,840.0,0.041977137081881145,0.0990660435132395,True,True,1
CoRoT-17 b,2.43,1.02,3.768125,0.0461,0.0,5740.0,1.04,1.59,920.0,0.04131895897432551,0.09751274317940821,True,True,1
CoRoT-18 b,3.47,1.31,1.90009057,0.0295,0.08,5440.0,0.95,1.0,870.0,0.04359757803540964,0.10289028416356674,True,False,0
CoRoT-19 b,1.11,1.29,3.8971372,0.0518,0.047,6090.0,1.21,1.65,800.0,0.038944306159709105,0.09190856253691349,True,True,1
CoRoT-1 b,1.03,1.49,1.50896848,0.0254,0.0,6298.0,0.95,1.11,460.0,0.037658117579013724,0.08887315748647238,True,False,0
CoRoT-20 b,4.24,0.84,9.2431839,0.0902,0.562,5880.0,1.14,0.92,1230.0,0.040335174236841576,0.09519101119894612,True,True,1
CoRoT-21 b,2.26,1.3,2.72474,0.0417,0.0,6200.0,1.29,1.95,1400.0,0.03825335879235942,0.09027792674996823,True,True,1
CoRoT-22 b,0.06,0.4354,9.75598,0.092,0.077,5939.0,1.099,1.136,592.0,0.03993447120940031,0.09424535205418473,False,True,0
CoRoT-23 b,2.8,1.08,3.6314,0.0477,0.16,5900.0,1.14,1.61,600.0,0.04019844483264889,0.09486832980505137,True,True,1
CoRoT-24 b,0.018,0.33,5.1134,0.056,0.0,4950.0,0.91,0.86,600.0,0.04791329788133908,0.11307538299996021,False,True,0
CoRoT-24 c,0.088,0.44,11.759,0.098,0.0,4950.0,0.91,0.86,600.0,0.04791329788133908,0.11307538299996021,False,True,0
CoRoT-25 b,0.27,1.08,4.86069,0.0578,,6040.0,1.09,1.19,1000.0,0.039266692800104044,0.09266939500824554,True,True,1
CoRoT-26 b,0.52,1.26,4.20474,0.0526,0.0,5590.0,1.09,1.79,1670.0,0.0424276966927779,0.10012936419495584,True,True,1
CoRoT-27 b,10.39,1.007,3.57532,0.0476,0.065,5900.0,1.05,1.08,,0.04019844483264889,0.09486832980505137,True,True,1
CoRoT-28 b,,0.955,5.20851,0.059,0.047,5150.0,1.01,1.78,560.0,0.046052587284005526,0.10868410599025304,True,True,1
CoRoT-29 b,0.85,0.9,2.85057,0.039,0.082,5260.0,0.976,0.9,765.0,0.04508951036361757,0.10641124445813746,True,False,0
CoRoT-2 Ab,3.31,1.465,1.7429964,0.0281,0.0,5529.0,0.972,0.938,213.283,0.04289579028985865,0.1012340650840664,True,False,0
CoRoT-30 b,2.9,1.009,9.06005,0.0844,0.007,5660.0,0.98,0.91,960.0,0.041902972528732936,0.09889101516780974,True,True,1
CoRoT-31 b,0.84,1.46,4.62941,0.0586,0.02,5370.0,1.25,2.15,2190.0,0.04416588910849692,0.10423149829605273,True,True,1
CoRoT-32 b,0.15,0.57,6.71837,0.071,,5970.0,1.09,0.79,,0.03972710628352235,0.09375597082911274,False,True,0
CoRoT-35 b,1.1,1.68,3.22748,0.0429,0.0,6390.0,1.01,1.65,1140.0,0.0371159349785021,0.08759360654926496,False,True,0
CoRoT-36 b,0.68,1.41,5.616531,0.066,0.0,6730.0,1.32,1.52,954.0,0.03524083573738907,0.08316837234023822,True,True,1
CoRoT-4 b,0.72,1.19,9.20166201,0.09,0.0,6190.0,1.1,1.15,,0.03831515743338101,0.09042377154277917,True,True,1
CoRoT-5 b,0.467,1.33,4.0379148,0.04947,0.09,6100.0,1.0,1.186,400.0,0.03888046303485712,0.09175789276226282,True,True,1
CoRoT-6 b,2.96,1.166,8.886593,0.0855,0.1,6090.0,1.055,1.025,,0.038944306159709105,0.09190856253691349,True,True,1
CoRoT-7 Ab,0.01907,0.136,0.8535,0.0172,0.12,5313.0,0.93,0.87,150.0,0.044639718522986725,0.10534973571424866,False,False,0
CoRoT-8 b,0.2158,0.5692,6.21229,0.063,0.0,5080.0,0.88,0.77,380.0,0.046687170179651266,0.11018172162397698,False,True,0
CoRoT-9 Ab,0.84,0.94,95.273804,0.407,0.133,5625.0,0.99,0.94,460.0,0.04216370213557839,0.099506337039965,True,False,0
DS Tuc Ab,0.0453,0.5085,8.138268,0.0795,,5597.0,0.959,0.872,44.12,0.04237463364527933,0.10000413540285923,False,True,0
